id-mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
520335,2016,MARZO,DOMINGO,2016-03-06,20,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.5794779779999,-58.4891216999999,1
520347,2016,MARZO,MIERCOLES,2016-03-09,9,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.573779875,-58.488918653,1
520407,2016,MARZO,MARTES,2016-03-08,22,Robo,Robo total,SI,NO,VILLA URQUIZA,12,-34.566528874,-58.488113212,1
520425,2016,MARZO,MARTES,2016-03-08,8,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5710493569999,-58.487964214,1
520437,2016,MARZO,SABADO,2016-03-05,7,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.574302707,-58.4878680799999,1
520635,2016,ABRIL,LUNES,2016-04-25,6,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5748377639999,-58.489679382,1
520728,2016,ABRIL,LUNES,2016-04-18,15,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.58399399,-58.488575012,1
520734,2016,ABRIL,SABADO,2016-04-30,22,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.564462018,-58.488547282,1
520788,2016,ABRIL,MIERCOLES,2016-04-20,21,Robo,Robo automotor,NO,NO,VILLA URQUIZA,12,-34.566530235,-58.4880310579999,1
520842,2016,ABRIL,LUNES,2016-04-18,3,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.570770737,-58.487573583,1
520884,2016,ABRIL,JUEVES,2016-04-28,8,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5738770249999,-58.4869739179999,1
521004,2016,ABRIL,MIERCOLES,2016-04-27,5,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5718309279999,-58.485560194,1
521013,2016,ABRIL,LUNES,2016-04-25,8,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.575481963,-58.485504764,1
521016,2016,ABRIL,SABADO,2016-04-30,17,Robo,Robo total,SI,SI,VILLA URQUIZA,12,-34.575481963,-58.485504764,1
521031,2016,ABRIL,DOMINGO,2016-04-17,18,Robo,Robo total,SI,SI,VILLA URQUIZA,12,-34.57734628,-58.4852344729999,1
521043,2016,ABRIL,LUNES,2016-04-25,3,Robo,Robo total,NO,SI,VILLA URQUIZA,12,-34.5650574059999,-58.485113422,1
524706,2016,DICIEMBRE,JUEVES,2016-12-08,18,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.5779807279999,-58.491903408,1
524817,2016,DICIEMBRE,MARTES,2016-12-06,23,Robo,Robo total,NO,NO,VILLA URQUIZA,12,-34.573617887,-58.490689678,1
524829,2016,DICIEMBRE,VIERNES,2016-12-09,14,Robo,Robo automotor,NO,NO,VILLA URQUIZA,12,-34.5770540569999,-58.490441565,1
